Symbol,Sector,Industry,Cap_Class
MAHSEAMLES,Capital Goods,Iron & Steel Products,Mid Cap
MAITHANALL,Metals & Mining,Ferro & Silica Manganese,Small Cap
MALLCOM,Capital Goods,Other Industrial Products,Small Cap
MALUPAPER,Forest Materials,Paper & Paper Products,Small Cap
MAMATA,industrials,engineering,Small Cap
MANAKALUCO,Metals & Mining,Aluminium,Small Cap
MANAKCOAT,Capital Goods,Iron & Steel Products,Small Cap
MANAKSIA,Capital Goods,Iron & Steel Products,Small Cap
MANAKSTEEL,Metals & Mining,Iron & Steel,Small Cap
MANALIPETC,Chemicals,Petrochemicals,Small Cap
MANAPPURAM,Financial Services,Non Banking Financial Company (NBFC),Large Cap
MANBA,Financial Services,Non Banking Financial Company (NBFC),Small Cap
MANCREDIT,Financial Services,Non Banking Financial Company (NBFC),Small Cap
MANGALAM,Healthcare,Pharmaceuticals,Small Cap
MANGLMCEM,Construction Materials,Cement & Cement Products,Small Cap
MANINDS,Capital Goods,Iron & Steel Products,Small Cap
MANINFRA,Construction,Civil Construction,Small Cap
MANKIND,Healthcare,Pharmaceuticals,Large Cap
MANOMAY,Textiles,Other Textile Products,Small Cap
MANORAMA,FMCG,Other Food Products,Mid Cap
MANORG,Chemicals,Commodity Chemicals,Small Cap
MANYAVAR,Consumer Services,Speciality Retail,Mid Cap
MAPMYINDIA,Information Technology,Software Products,Small Cap
MARALOVER,Textiles,Other Textile Products,Small Cap
MARATHON,Realty,"Residential, Commercial Projects",Small Cap
MARICO,FMCG,Edible Oil,Large Cap
MARINE,Capital Goods,Heavy Electrical Equipment,Small Cap
MARKOLINES,Realty,construction,Small Cap
MARKSANS,Healthcare,Pharmaceuticals,Mid Cap
MARUTI,Automobile and Auto Components,Passenger Cars & Utility Vehicles,Large Cap
MASFIN,Financial Services,Non Banking Financial Company (NBFC),Mid Cap
MASKINVEST,Financial Services,Non Banking Financial Company (NBFC),Small Cap
MASTEK,Information Technology,Computers - Software & Consulting,Small Cap
MASTERTR,Financial Services,Non Banking Financial Company (NBFC),Small Cap
MATRIMONY,Consumer Services,Internet & Catalogue Retail,Small Cap
MAWANASUG,FMCG,Sugar,Small Cap
MAXESTATES,Realty,"Residential, Commercial Projects",Mid Cap
MAXHEALTH,Healthcare,Hospital,Large Cap
MAXIND,Financial Services,Holding Company,Small Cap
MAYURUNIQ,Consumer Durables,Leather And Leather Products,Small Cap
