Symbol,Sector,Industry,Cap_Class
EDELWEISS,Financial Services,Holding Company,Mid Cap
EFCIL,Realty,construction,Small Cap
EICHERMOT,Automobile and Auto Components,2/3 Wheelers,Large Cap
EIDPARRY,Chemicals,Fertilizers,Mid Cap
EIEL,Construction,Civil Construction,Small Cap
EIFFL,FMCG,Packaged Foods,Small Cap
EIHAHOTELS,Consumer Services,Hotels & Resorts,Small Cap
EIHOTEL,Consumer Services,Hotels & Resorts,Mid Cap
EIMCOELECO,Capital Goods,Industrial Products,Small Cap
EKC,Capital Goods,Industrial Products,Small Cap
ELECON,Capital Goods,Industrial Products,Mid Cap
ELECTCAST,Capital Goods,Iron & Steel Products,Small Cap
ELECTHERM,Capital Goods,Iron & Steel Products,Small Cap
ELGIEQUIP,Capital Goods,"Compressors, Pumps & Diesel Engines",Mid Cap
ELGIRUBCO,Automobile and Auto Components,Tyres & Rubber Products,Small Cap
ELIN,Consumer Durables,Household Appliances,Small Cap
ELLEN,Industrials,chemicals,Small Cap
EMAMILTD,FMCG,Personal Care,Mid Cap
EMAMIPAP,Forest Materials,Paper & Paper Products,Small Cap
EMAMIREAL,Realty,"Residential, Commercial Projects",Small Cap
EMBDL,Realty,"Residential, Commercial Projects",Mid Cap
EMCURE,Healthcare,Pharmaceuticals,Large Cap
EMIL,Consumer Services,Diversified Retail,Small Cap
EMKAY,Financial Services,Stockbroking & Allied,Small Cap
EMMBI,Capital Goods,Packaging,Small Cap
EMMVEE,Industrials,electric equipment,Mid Cap
EMSLIMITED,Utilities,Waste Management,Small Cap
EMUDHRA,Information Technology,IT Enabled Services,Small Cap
ENDURANCE,Automobile and Auto Components,Auto Components & Equipments,Large Cap
ENGINERSIN,Construction,Civil Construction,Mid Cap
ENIL,"Media, Entertainment & Publication",Media & Entertainment,Small Cap
ENRIN,Power,power generation and supply,Large Cap
ENTERO,Consumer Services,Pharmacy Retail,Mid Cap
EPACK,Consumer Durables,Household Appliances,Small Cap
EPACKPEB,Metals & Mining,steel - medium / small,Small Cap
EPIGRAL,Chemicals,Specialty Chemicals,Small Cap
EPL,Capital Goods,Packaging,Mid Cap
EQUITASBNK,Financial Services,Other Bank,Mid Cap
ERIS,Healthcare,Pharmaceuticals,Mid Cap
ESABINDIA,Capital Goods,Other Industrial Products,Mid Cap
ESAFSFB,Financial Services,Other Bank,Small Cap
ESCORTS,Capital Goods,Tractors,Large Cap
ESTER,Capital Goods,Packaging,Small Cap
ETERNAL,Information Technology,miscellaneous,Large Cap
ETHOSLTD,Consumer Durables,"Gems, Jewellery And Watches",Mid Cap
EUREKAFORB,Consumer Durables,Household Appliances,Mid Cap
EUROBOND,Metals & Mining,Aluminium,Small Cap
EUROPRATIK,building materials,miscellaneous,Small Cap
EVEREADY,FMCG,Household Products,Small Cap
EVERESTIND,Construction Materials,Other Construction Materials,Small Cap
EXCELINDUS,Chemicals,Specialty Chemicals,Small Cap
EXCELSOFT,Information Technology,computers - software - medium / small,Small Cap
EXICOM,Capital Goods,Heavy Electrical Equipment,Small Cap
EXIDEIND,Automobile and Auto Components,Auto Components & Equipments,Large Cap
EXPLEOSOL,Information Technology,IT Enabled Services,Small Cap
FABTECH,Services,trading,Small Cap
FACT,Chemicals,Fertilizers,Large Cap
FAIRCHEMOR,Chemicals,Specialty Chemicals,Small Cap
FAZE3Q,Textiles,Other Textile Products,Small Cap
FDC,Healthcare,Pharmaceuticals,Mid Cap
FEDERALBNK,Financial Services,Private Sector Bank,Large Cap
FEDFINA,Financial Services,Non Banking Financial Company (NBFC),Small Cap
FIBERWEB,Textiles,Other Textile Products,Small Cap
FIEMIND,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
FILATEX,Textiles,Other Textile Products,Small Cap
FINCABLES,Capital Goods,Cables - Electricals,Mid Cap
FINEORG,Chemicals,Specialty Chemicals,Mid Cap
FINKURVE,Financial Services,Financial Institution,Small Cap
FINOPB,Financial Services,Other Bank,Small Cap
FINPIPE,Capital Goods,Plastic Products - Industrial,Mid Cap
FIRSTCRY,Consumer Services,E-Retail/ E-Commerce,Mid Cap
FISCHER,Services,trading,Small Cap
FIVESTAR,Financial Services,Non Banking Financial Company (NBFC),Mid Cap
FLAIR,FMCG,Stationary,Small Cap
FLUOROCHEM,Chemicals,Specialty Chemicals,Large Cap
FMGOETZE,Automobile and Auto Components,Auto Components & Equipments,Small Cap
FOCUS,Information Technology,Computers - Software & Consulting,Small Cap
FOODSIN,FMCG,Packaged Foods,Small Cap
FORCEMOT,Automobile and Auto Components,Passenger Cars & Utility Vehicles,Large Cap
FORTIS,Healthcare,Hospital,Large Cap
FOSECOIND,Chemicals,Specialty Chemicals,Small Cap
FSL,Services,Business Process Outsourcing (BPO)/ Kno,Mid Cap
FUSION,Financial Services,Microfinance Institutions,Small Cap
GABRIEL,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
GAEL,FMCG,Other Agricultural Products,Mid Cap
GAIL,"Oil, Gas & Consumable Fuels",Gas Transmission/Marketing,Large Cap
GALAPREC,Capital Goods,Industrial Products,Small Cap
GALAXYSURF,Chemicals,Specialty Chemicals,Mid Cap
GALLANTT,Capital Goods,Iron & Steel Products,Mid Cap
GANDHAR,"Oil, Gas & Consumable Fuels",Lubricants,Small Cap
GANDHITUBE,Capital Goods,Iron & Steel Products,Small Cap
GANECOS,Textiles,Other Textile Products,Small Cap
GANESHBE,"Oil, Gas & Consumable Fuels",Oil Storage & Transportation,Small Cap
GANESHCP,FMCG,food - processing - indian,Small Cap
GANESHHOU,Realty,construction,Small Cap
GANGESSECU,FMCG,Tea & Coffee,Small Cap
GARFIBRES,Textiles,Other Textile Products,Mid Cap
GARUDA,Construction,Civil Construction,Small Cap
GATEWAY,Services,Logistics Solution Provider,Small Cap
GCSL,Financial Services,Financial Institution,Small Cap
GEECEE,Realty,"Residential, Commercial Projects",Small Cap
GEEKAYWIRE,Metals & Mining,Iron & Steel,Small Cap
GEMAROMA,Chemicals,chemicals,Small Cap
GENCON,Realty,"Residential, Commercial Projects",Small Cap
GENESYS,Information Technology,IT Enabled Services,Small Cap
GENSOL,Capital Goods,Other Electrical Equipment,Small Cap
GENUSPOWER,Capital Goods,Other Electrical Equipment,Mid Cap
GEOJITFSL,Financial Services,Stockbroking & Allied,Small Cap
GESHIP,Services,Shipping,Large Cap
GFLLIMITED,Financial Services,Holding Company,Small Cap
GHCL,Chemicals,Commodity Chemicals,Small Cap
GHCLTEXTIL,Textiles,Other Textile Products,Small Cap
GICHSGFIN,Financial Services,Housing Finance Company,Small Cap
GICRE,Financial Services,General Insurance,Large Cap
GILLANDERS,FMCG,Tea & Coffee,Small Cap
GILLETTE,FMCG,Personal Care,Large Cap
GINNIFILA,Textiles,Other Textile Products,Small Cap
GIPCL,Power,Power Generation,Small Cap
GKENERGY,Realty,engineering - turnkey services,Small Cap
GKSL,Financial ServHealthcareices,healthcare,Small Cap
GLAND,Healthcare,Pharmaceuticals,Large Cap
GLAXO,Healthcare,Pharmaceuticals,Large Cap
GLENMARK,Healthcare,Pharmaceuticals,Large Cap
GLOBAL,Consumer Services,Education,Small Cap
GLOBALVECT,Services,Airline,Small Cap
GLOBECIVIL,Realty,construction,Small Cap
GLOBUSSPR,FMCG,Breweries & Distilleries,Small Cap
GLOTTIS,transportation,miscellaneous,Small Cap
GMBREW,FMCG,Breweries & Distilleries,Small Cap
GMDCLTD,Metals & Mining,Industrial Minerals,Mid Cap
GMMPFAUDLR,Capital Goods,Industrial Products,Small Cap
GMRAIRPORT,Services,Airport & Airport services,Large Cap
GMRP&UI,Power,Power Generation,Mid Cap
GNA,Automobile and Auto Components,Auto Components & Equipments,Small Cap
GNFC,Chemicals,Commodity Chemicals,Mid Cap
GOACARBON,Metals & Mining,Industrial Minerals,Small Cap
GOCLCORP,Chemicals,Explosives,Small Cap
